request,workerid,order,prob_rating,audio,catch_trial,mood,condtion,modal,text,check1,image,check2,seat
./stim/text/text-2.png,5,1,0.97,./stim/audio/angry_probably2_s1.mp3,1,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_75_6.png,./stim/images/exposure_10_6.png,./stim/images/exposure_10_6.png,an aisle seat (blue)
./stim/text/text-1.png,5,1,0.52,./stim/audio/angry_might1_s1.mp3,1,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_60_6.png,./stim/images/exposure_60_6.png,a window seat (red)
./stim/text/text-2.png,5,1,0.98,./stim/audio/angry_probably2_s1.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_75_8.png,./stim/images/exposure_10_8.png,./stim/images/exposure_10_8.png,an aisle seat (blue)
./stim/text/text-1.png,5,1,1,./stim/audio/angry_bare_s1.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_1.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-2.png,5,0,0.52,./stim/audio/angry_might2_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_40_1.png,./stim/images/exposure_40_1.png,./stim/images/prob_100_1.png,an aisle seat (blue)
./stim/text/text-2.png,5,1,0.57,./stim/audio/angry_might2_s1.mp3,1,pessimist,3,might,You might get one.,./stim/images/prob_100_1.png,./stim/images/exposure_40_6.png,./stim/images/exposure_40_6.png,an aisle seat (blue)
./stim/text/text-1.png,5,0,1,./stim/audio/angry_bare_s1.mp3,0,pessimist,3,bare,You'll get one.,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,./stim/images/exposure_60_8.png,a window seat (red)
./stim/text/text-1.png,5,0,0.69,./stim/audio/angry_might1_s1.mp3,0,pessimist,3,might,You might get one.,./stim/images/exposure_60_8.png,./stim/images/exposure_60_8.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-1.png,5,1,1,./stim/audio/angry_bare_s1.mp3,1,pessimist,3,bare,You'll get one.,./stim/images/exposure_60_6.png,./stim/images/prob_100_1.png,./stim/images/prob_100_1.png,a window seat (red)
./stim/text/text-1.png,6,0,0.93,./stim/audio/angry_probably1_s2.mp3,0,pessimist,3,probably,You'll probably get one.,./stim/images/exposure_90_3.png,./stim/images/exposure_90_3.png,./stim/images/exposure_25_3.png,a window seat (red)
